Ambient temp,Direct normal solar,Diffuse horizontal solar
3.7,0,0
3,0,0
2.4,0,0
1.8,0,0
1.1,0,0
0.2,0,0
-0.7,0,0
-0.2,3,1
1.8,418,32
3.8,749,61
5.2,871,75
5.9,929,81
6.6,948,84
7,935,85
7.1,891,83
7.3,808,74
6.5,639,55
4.9,196,18
3.2,0,0
2.5,0,0
2.6,0,0
2.8,0,0
2.4,0,0
1.4,0,0
0.5,0,0
-0.3,0,0
-0.8,0,0
-1.3,0,0
-1.7,0,0
-2,0,0
-2.4,0,0
-1.3,2,1
1.2,355,35
3.7,681,68
5.6,812,84
6.8,873,92
8.1,889,99
8.8,855,108
9.2,778,114
9.5,678,100
9,506,70
7.9,140,21
6.8,0,0
6.1,0,0
5.8,0,0
5.6,0,0
4.3,0,0
2.1,0,0
-0.1,0,0
-1.3,0,0
-1.6,0,0
-1.8,0,0
-2,0,0
-2.1,0,0
-2.2,0,0
-1.2,1,1
1,32,50
3.1,369,111
5.3,627,121
7.4,733,127
9.5,648,174
10.8,656,167
11.2,529,178
11.7,418,149
11.1,323,89
9.6,102,23
8.1,0,0
7.2,0,0
6.9,0,0
6.6,0,0
6,0,0
4.9,0,0
3.8,0,0
2.9,0,0
2.1,0,0
1.4,0,0
0.7,0,0
0.1,0,0
-0.5,0,0
0.2,3,1
2,387,35
3.9,724,63
5.3,854,76
6.2,911,83
7.1,929,87
7.6,913,91
7.8,864,91
8,778,82
7.2,615,61
5.4,205,21
3.7,0,0
2.7,0,0
2.5,0,0
2.2,0,0
1.6,0,0
0.5,0,0
-0.6,0,0
-1.1,0,0
-1.1,0,0
-1.1,0,0
-1.3,0,0
-1.7,0,0
-2.1,0,0
-1.1,2,1
1.2,316,38
3.6,325,125
5.2,731,102
6.2,814,110
7.2,861,108
7.6,878,101
7.7,853,94
7.7,784,82
7,602,64
5.7,141,25
4.4,0,0
3.6,0,0
3.5,0,0
3.4,0,0
2.6,0,0
1.3,0,0
0,0,0
-0.9,0,0
-1.4,0,0
-1.9,0,0
-2.3,0,0
-2.6,0,0
-2.8,0,0
-1.9,0,1
0.1,57,60
2.2,617,80
4.3,750,102
6.3,807,117
8.3,824,126
9.6,802,131
10,748,127
10.5,649,112
9.9,474,80
8.4,134,26
6.9,0,0
6.2,0,0
6.2,0,0
6.2,0,0
6.1,0,0
5.8,0,0
5.6,0,0
4.9,0,0
3.8,0,0
2.8,0,0
1.9,0,0
1.2,0,0
0.5,0,0
1.1,3,1
3,291,39
4.8,702,68
5.9,821,87
6.4,877,98
6.8,898,105
6.9,893,104
6.8,853,101
6.6,770,89
5.7,610,67
4.1,210,25
2.5,0,0
1.8,0,0
2,0,0
2.2,0,0
1.9,0,0
1,0,0
0,0,0
-0.6,0,0
-1,0,0
-1.4,0,0
-1.7,0,0
-2,0,0
-2.3,0,0
-1.3,3,1
0.8,330,40
2.9,631,80
4.4,309,224
5.4,96,336
6.4,204,344
7.1,13,298
7.3,23,274
7.6,49,228
7.1,291,110
5.9,39,31
4.6,0,0
4,0,0
4.1,0,0
4.1,0,0
3.9,0,0
3.4,0,0
2.9,0,0
2.8,0,0
2.9,0,0
3,0,0
2.7,0,0
1.8,0,0
0.9,0,0
1.2,3,1
2.7,296,42
4.1,611,81
5,624,138
5.5,412,243
5.9,905,98
6,886,104
5.8,249,232
5.6,29,231
4.8,31,79
3.4,8,32
2,0,0
1.3,0,0
1.2,0,0
1.1,0,0
0.7,0,0
0.2,0,0
-0.3,0,0
-0.6,0,0
-0.6,0,0
-0.7,0,0
-0.7,0,0
-0.7,0,0
-0.8,0,0
-0.1,8,1
1.2,473,32
2.5,774,56
3.7,884,68
4.8,931,78
5.9,939,88
6.6,916,96
6.8,861,99
7.1,771,92
6.4,622,69
4.7,255,27
3.1,0,0
2.3,0,0
2.3,0,0
2.2,0,0
1.4,0,0
-0.3,0,0
-2,0,0
-2.9,0,0
-3.2,0,0
-3.4,0,0
-3.2,0,0
-2.5,0,0
-1.8,0,0
-0.6,0,1
1,0,34
2.6,0,109
4.6,0,194
6.8,0,236
9,58,331
10.2,485,250
10.2,598,179
10.3,578,134
9.7,489,85
8.7,187,30
7.6,0,0
7,0,0
6.8,0,0
6.7,0,0
6.4,0,0
5.9,0,0
5.4,0,0
4.6,0,0
3.5,0,0
2.4,0,0
1.6,0,0
1,0,0
0.4,0,0
0.9,5,2
2.6,357,43
4.3,666,79
5.5,796,98
6.2,857,110
7,872,119
7.3,855,124
7.3,809,121
7.2,722,109
6.4,571,80
4.9,222,32
3.4,0,0
2.7,0,0
3,0,0
3.2,0,0
2.7,0,0
1.6,0,0
0.5,0,0
-0.4,0,0
-1,0,0
-1.7,0,0
-2,0,0
-2.1,0,0
-2.1,0,0
-1.3,4,2
0.5,114,63
2.3,528,98
4.1,703,118
5.9,419,249
7.6,153,364
8.9,645,195
9.5,728,141
10.2,647,121
9.8,494,87
8.3,136,31
6.8,0,0
5.7,0,0
5,0,0
4.3,0,0
3.5,0,0
2.6,0,0
1.8,0,0
1.1,0,0
0.8,0,0
0.4,0,0
0.2,0,0
0.1,0,0
0,0,0
0.6,1,2
2,0,37
3.3,0,50
4.8,0,51
6.4,0,59
8,0,80
8.9,1,285
9,3,228
9.2,62,84
8.5,1,81
6.9,0,14
5.4,0,0
4.5,0,0
4.1,0,0
3.7,0,0
3.1,0,0
2.1,0,0
1.2,0,0
0.5,0,0
-0.1,0,0
-0.6,0,0
-1.3,0,0
-2.4,0,0
-3.5,0,0
-2.8,10,2
-0.5,414,43
1.8,682,80
3.4,793,104
