Ambient temp,Direct normal solar,Diffuse horizontal solar
23.7,43,272
24.6,0,153
25.6,0,189
26.9,0,50
28.1,0,44
28.4,0,73
27.7,0,123
27,0,66
26.1,0,71
25,0,145
23.9,0,50
22.2,0,8
20.1,0,0
18,0,0
16.8,0,0
16.3,0,0
15.8,0,0
15.4,0,0
15.1,0,0
14.8,0,0
14.7,0,0
14.8,39,14
14.9,339,76
15.7,260,207
17.4,687,150
19.1,956,89
20.2,1001,87
20.7,1024,85
21.2,1032,84
21.6,1023,86
21.7,1006,83
21.8,973,79
21.4,913,73
20.3,808,64
19.2,558,50
18.1,91,13
17,0,0
15.9,0,0
15.1,0,0
14.7,0,0
14.4,0,0
14.2,0,0
14.1,0,0
14,0,0
14.1,0,0
14.4,98,12
14.7,527,53
15.8,737,78
17.8,773,119
19.7,691,213
21,445,367
21.7,641,313
22.3,682,298
22.7,955,120
22.8,952,107
22.9,918,100
22.4,859,90
21.3,755,74
20.3,530,52
19.3,77,13
18.4,0,0
17.5,0,0
16.9,0,0
16.4,0,0
15.9,0,0
15.6,0,0
15.4,0,0
15.3,0,0
15.4,0,0
15.7,14,13
16,0,69
17.3,0,167
19.5,102,325
21.8,825,145
23.6,947,113
24.9,968,117
26.2,974,118
27.1,966,118
27.6,945,115
28,906,110
27.5,828,105
26.1,707,89
24.7,323,76
23,23,14
21.1,0,0
19.2,0,0
18,0,0
17.5,0,0
17.1,0,0
16.7,0,0
16.4,0,0
16.1,0,0
16.2,0,0
16.6,26,12
16.9,0,85
18.5,72,222
21.3,796,111
24.1,919,101
26.1,952,110
27.4,972,114
28.7,978,115
29.3,965,119
29.3,945,116
29.3,910,108
28.5,853,96
27,748,78
25.5,516,55
23.7,71,13
21.8,0,0
19.9,0,0
18.6,0,0
17.7,0,0
16.9,0,0
16.3,0,0
16,0,0
15.7,0,0
15.5,0,0
15.6,27,12
15.6,0,85
16.6,0,157
18.6,0,274
20.5,567,246
21.8,930,121
22.4,957,120
22.9,958,123
23.2,947,124
23.2,924,121
23.2,886,113
22.8,818,102
21.9,701,85
21.1,427,62
20.2,48,13
19.3,0,0
18.4,0,0
18,0,0
17.9,0,0
17.9,0,0
17.9,0,0
18,0,0
18.1,0,0
18.2,0,0
18.5,10,12
18.8,496,53
20.2,736,77
22.8,852,92
25.3,918,102
27.5,953,109
29.4,970,113
31.2,973,117
32.5,961,119
33.2,938,117
33.9,897,111
33.8,828,102
33,708,85
32.3,375,68
31.1,46,13
29.5,0,0
28,0,0
27.4,0,0
27.9,0,0
28.4,0,0
28.8,0,0
29.1,0,0
29.4,0,0
29.6,0,0
29.8,66,9
29.9,479,53
31.1,693,83
33.3,802,103
35.4,862,117
36.6,892,131
36.8,907,141
37,493,311
36.9,132,340
36.4,465,367
36,789,156
34.5,620,173
32,215,181
29.4,0,74
26.9,0,8
24.4,0,0
21.9,0,0
20.6,0,0
20.4,0,0
20.2,0,0
19.9,0,0
19.4,0,0
19,0,0
18.7,0,0
18.5,0,8
18.3,0,90
18.9,182,176
20.4,512,216
21.8,301,379
22.9,911,132
23.8,951,128
24.6,960,128
25.4,962,122
26.1,947,114
26.8,915,104
26.9,852,92
26.4,642,100
25.9,238,86
24.6,48,11
22.8,0,0
20.9,0,0
19.6,0,0
18.8,0,0
18.1,0,0
17.6,0,0
17.3,0,0
17.1,0,0
17,0,0
17,0,6
17,0,56
17.6,2,141
18.8,542,194
20,411,330
21.1,390,409
22,111,517
22.9,327,489
23.7,649,314
24.3,523,327
24.9,457,277
24.8,22,359
23.9,364,142
23,58,102
21.6,19,11
19.7,0,0
17.8,0,0
16.8,0,0
16.6,0,0
16.5,0,0
16.2,0,0
15.8,0,0
15.5,0,0
15.4,0,0
15.7,55,8
16,505,49
17.3,754,72
19.7,877,84
22,947,91
23.9,989,92
25.4,1010,94
26.8,1017,94
27.7,1007,95
28.2,985,93
28.6,947,89
28.3,881,81
27.2,766,70
26.2,511,50
24.6,69,10
22.5,0,0
20.4,0,0
19.1,0,0
18.7,0,0
18.4,0,0
18.1,0,0
18,0,0
17.9,0,0
18.1,0,0
18.8,59,7
19.5,510,48
21.2,665,92
24.1,294,255
26.9,658,197
28.7,897,138
29.6,868,175
30.5,985,108
30.8,723,259
30.7,651,246
30.6,781,141
29.8,476,223
28.3,710,81
26.9,432,57
25.1,51,10
22.9,0,0
20.8,0,0
19.4,0,0
18.7,0,0
18,0,0
17.6,0,0
17.3,0,0
17,0,0
17.2,0,0
17.8,28,7
18.3,458,50
20.2,713,77
23.4,836,93
26.6,906,103
29,945,108
30.7,959,115
32.4,482,369
33.1,570,274
32.8,138,257
32.6,33,214
31.8,0,69
30.3,0,17
28.8,1,20
27.3,29,9
25.6,0,0
23.9,0,0
22.6,0,0
21.6,0,0
20.7,0,0
19.7,0,0
18.6,0,0
17.5,0,0
16.7,0,0
16.2,0,6
15.7,216,58
16,692,81
17.1,852,89
18.2,925,98
18.7,655,276
18.8,259,499
18.8,486,411
18.7,592,337
18.4,813,194
18.2,775,176
17.6,775,127
16.6,524,122
15.6,198,89
14.8,43,9
14.1,0,0
13.4,0,0
12.9,0,0
12.6,0,0
12.3,0,0
12,0,0
11.9,0,0
11.8,0,0
12,0,0
12.4,46,5
12.7,543,42
13.8,793,63
15.6,910,75
17.4,972,83
18.7,1006,89
19.6,1021,95
20.4,1021,100
21.1,1006,104
21.8,976,108
22.5,926,107
22.5,848,100
21.9,720,84
21.4,402,60
20.4,43,9
18.9,0,0
17.5,0,0
16.7,0,0
16.4,0,0
16.2,0,0
15.9,0,0
15.6,0,0
15.3,0,0
15.5,0,0
16.2,28,5
16.9,385,53
18.8,687,79
21.8,815,97
24.7,888,108
26.8,928,115
27.9,948,120
29,951,124
29.8,903,148
30.5,478,358
31.2,448,280
31.1,663,159
30.4,659,90
29.7,285,70
28.2,28,8
26,0,0
23.8,0,0
22.3,0,0
21.6,0,0
20.9,0,0
20.6,0,0
20.5,0,0
20.5,0,0
20.7,0,0
21,30,4
21.3,474,43
23,723,70
25.9,837,88
28.9,899,101
30.7,935,110
31.5,719,251
32.3,511,362
32.6,622,314
32.4,409,249
32.2,234,198
31.1,416,237
29,442,128
27,117,85
25,9,8
23.1,0,0
21.2,0,0
20.2,0,0
19.9,0,0
19.6,0,0
19.2,0,0
18.7,0,0
18.2,0,0
18,0,0
17.9,6,4
17.8,6,52
18.3,0,112
19.3,0,146
20.3,0,244
21.1,0,280
21.7,0,275
22.2,17,402
22.5,61,417
22.4,0,196
22.3,0,235
21.7,2,214
20.5,8,187
19.3,3,79
18.2,16,7
17.3,0,0
16.4,0,0
15.9,0,0
15.8,0,0
15.8,0,0
15.8,0,0
15.7,0,0
15.6,0,0
15.7,0,0
16,7,4
16.2,2,40
17,0,91
18.4,0,102
19.7,0,136
21,0,114
22.2,0,116
23.3,0,265
24.2,215,488
24.7,743,222
25.2,696,201
25.1,581,181
24.5,392,142
24,62,84
23.1,5,7
22,0,0
20.9,0,0
20.4,0,0
20.5,0,0
20.6,0,0
20.4,0,0
20.1,0,0
19.8,0,0
19.8,0,0
19.9,0,2
20,97,67
21,336,143
23,377,241
25,362,336
26.4,626,266
27.2,852,173
28,647,306
28.3,526,359
28.1,631,274
27.9,58,409
27.4,0,247
26.6,0,76
25.8,0,28
24.7,0,5
23.4,0,0
22.1,0,0
21.5,0,0
21.4,0,0
21.3,0,0
21.1,0,0
20.6,0,0
20.2,0,0
20,0,0
20,0,2
20,0,46
20.7,0,138
22.1,371,229
23.5,556,248
24.1,493,337
23.8,882,152
23.6,919,139
23.7,899,148
24.2,879,142
24.7,575,239
24.7,502,212
24.3,462,117
24,12,82
23.2,14,6
22,0,0
20.9,0,0
20,0,0
19.5,0,0
19,0,0
18.6,0,0
18.3,0,0
18,0,0
17.8,0,0
17.5,0,2
17.2,0,17
17.6,0,84
18.5,0,200
19.4,0,307
20.1,69,332
20.4,369,424
20.7,745,243
21,984,100
21.3,967,96
21.6,933,90
21.3,868,81
20.4,734,71
19.5,450,47
18.6,26,5
17.6,0,0
16.6,0,0
15.8,0,0
15.3,0,0
14.8,0,0
14.4,0,0
14.1,0,0
13.8,0,0
13.7,0,0
13.8,8,2
13.9,56,68
14,7,166
14.3,0,87
14.6,0,155
14.6,78,323
14.3,33,298
14.1,59,333
14.3,227,295
14.9,123,411
15.4,179,333
15.6,280,276
15.3,155,125
15,71,66
14.5,15,5
13.8,0,0
13.1,0,0
12.6,0,0
12.2,0,0
11.9,0,0
11.7,0,0
11.7,0,0
11.7,0,0
11.8,0,0
11.9,8,2
12,73,70
12.8,430,117
14.5,478,205
16.2,0,405
17.4,28,488
18.2,688,264
18.9,967,109
19.7,960,108
20.4,939,105
21.1,900,98
21.3,835,86
20.9,716,70
20.6,469,42
19.7,29,4
18.2,0,0
16.8,0,0
15.9,0,0
15.5,0,0
15.1,0,0
14.7,0,0
14.4,0,0
14.1,0,0
14.1,0,0
14.5,8,2
14.9,401,37
16.4,704,64
18.9,836,79
21.4,903,89
22.8,933,101
23.2,44,226
23.5,0,411
23.8,24,459
24.1,95,456
24.3,155,227
24.1,7,221
23.5,253,165
23,415,43
22.3,15,3
21.4,0,0
20.5,0,0
20,0,0
19.7,0,0
19.4,0,0
19,0,0
18.4,0,0
17.8,0,0
17.4,0,0
17.2,8,1
17,113,65
16.5,18,173
15.7,22,226
14.9,0,171
14.2,0,135
13.6,40,318
13,0,322
13.1,42,449
14,0,328
14.8,421,233
15,704,142
14.7,383,138
14.4,340,54
13.8,16,4
12.9,0,0
12,0,0
11.3,0,0
11,0,0
10.7,0,0
10.5,0,0
10.3,0,0
10.2,0,0
10.2,0,0
10.3,1,1
10.4,209,48
11.2,562,95
12.7,760,113
14.2,732,182
15.1,649,260
15.4,764,229
15.7,160,358
16,701,255
16.2,418,305
16.4,900,107
16.3,281,204
15.9,595,103
15.6,325,56
14.9,19,3
13.8,0,0
12.8,0,0
12.1,0,0
11.7,0,0
11.4,0,0
11.1,0,0
11,0,0
10.9,0,0
10.9,0,0
11.2,5,1
11.5,251,49
12.5,127,177
14.2,426,213
15.9,771,156
17.1,109,451
17.9,819,187
18.6,987,95
19.3,977,96
19.9,954,94
20.4,911,89
20.4,839,81
19.8,712,67
19.3,436,40
18.4,16,3
17.3,0,0
16.2,0,0
15.3,0,0
14.7,0,0
14.1,0,0
13.7,0,0
13.4,0,0
13.2,0,0
13.2,0,0
13.4,0,1
13.6,0,41
14.7,45,164
16.7,129,271
18.6,561,236
20.2,931,102
21.4,922,125
22.5,950,114
23.2,953,107
23.4,448,344
23.5,164,366
23,397,216
21.9,591,87
20.8,207,60
19.5,0,3
18.2,0,0
16.9,0,0
16.1,0,0
15.7,0,0
15.3,0,0
15,0,0
14.8,0,0
14.6,0,0
14.6,0,0
14.8,1,1
15,12,40
16.3,0,145
18.7,283,235
21,856,113
22.7,901,123
23.8,926,128
24.9,933,130
25.4,921,133
25.5,851,152
25.6,577,243
24.8,466,212
23.3,230,146
21.8,3,46
20.2,1,2
18.7,0,0
17.2,0,0
16.1,0,0
15.4,0,0
14.8,0,0
14.4,0,0
14.1,0,0
13.9,0,0
13.9,0,0
14.1,0,1
14.2,271,39
15.9,653,71
19.1,759,105
22.3,796,141
24.4,857,149
25.3,620,303
26.2,255,445
26.8,238,415
27,128,343
27.2,355,322
26.8,4,209
25.9,0,132
25,39,37
23.8,3,2
22.3,0,0
20.9,0,0
20,0,0
19.7,0,0
19.4,0,0
19.3,0,0
19.5,0,0
19.6,0,0
19.7,0,0
19.6,0,0
19.5,0,21
20,0,68
20.9,0,216
21.8,0,167
22.7,0,144
23.5,0,407
24.2,266,422
24.7,497,325
24.8,857,144
24.9,814,132
24,726,117
22,565,93
20,214,53
18.3,2,2
16.8,0,0
15.4,0,0
14.4,0,0
13.8,0,0
13.3,0,0
12.9,0,0
12.8,0,0
12.7,0,0
12.7,0,0
12.8,1,0
12.9,144,47
13.6,685,64
14.9,683,134
16.2,232,355
17.1,789,179
17.4,118,530
17.7,334,400
18,263,465
18.2,455,346
18.3,416,297
18.1,798,98
17.6,629,81
17.1,287,45
16.2,5,1
15,0,0
13.9,0,0
13.1,0,0
12.6,0,0
12.2,0,0
11.9,0,0
11.7,0,0
11.5,0,0
11.5,0,0
11.8,0,0
12.1,57,54
13,66,175
14.7,114,285
16.4,13,319
17.5,188,355
18,959,107
18.5,622,310
18.8,876,157
19,904,120
19.1,907,92
18.8,831,82
17.9,679,69
17.1,342,38
16.4,3,1
15.9,0,0
15.4,0,0
14.8,0,0
14.3,0,0
13.8,0,0
13.4,0,0
13.1,0,0
12.9,0,0
12.8,0,0
12.8,0,0
12.8,0,38
13.6,21,174
15.2,3,264
16.8,0,236
17.9,0,320
18.5,0,412
19.1,0,486
19.5,262,435
19.6,929,105
19.7,882,100
19.3,813,86
18.4,673,68
17.5,347,36
16.7,3,1
15.8,0,0
14.9,0,0
14.2,0,0
13.5,0,0
12.8,0,0
12.5,0,0
12.5,0,0
12.5,0,0
12.6,0,0
12.7,0,0
12.8,28,39
13.8,0,135
15.7,212,245
17.6,854,109
18.9,959,90
19.5,985,92
20.1,993,92
20.4,989,90
20.4,970,86
20.4,932,80
19.9,861,72
18.8,726,59
17.7,365,34
16.8,3,1
16,0,0
15.3,0,0
14.7,0,0
14.2,0,0
13.8,0,0
13.6,0,0
13.5,0,0
13.4,0,0
13.5,0,0
13.7,0,0
13.8,32,41
14.9,36,165
16.8,597,141
18.7,923,80
20,964,85
20.9,985,89
21.7,990,91
22.3,982,91
22.7,960,89
23,916,85
22.7,840,77
21.8,701,62
20.9,368,32
19.9,2,0
19,0,0
18.1,0,0
17.4,0,0
16.9,0,0
16.4,0,0
15.8,0,0
15.2,0,0
14.7,0,0
14.3,0,0
14.2,0,0
14.2,315,26
15.7,692,57
18.8,837,72
22,912,82
24.1,955,87
25.2,977,90
26.3,983,92
27.1,976,91
27.6,955,88
28,914,83
27.7,835,76
26.7,696,61
25.7,354,31
24.2,2,0
22.3,0,0
20.4,0,0
19.3,0,0
18.9,0,0
18.6,0,0
18.3,0,0
18.2,0,0
18.1,0,0
18.3,0,0
18.7,0,0
19,293,26
20.5,682,57
23.1,833,73
25.6,910,83
27.1,951,89
27.5,973,93
27.9,979,95
28.5,969,96
29.2,944,95
29.9,899,90
29.8,820,81
28.9,638,70
28.1,274,33
26.7,1,0
24.9,0,0
23,0,0
21.6,0,0
20.6,0,0
19.7,0,0
19,0,0
18.7,0,0
18.4,0,0
18.1,0,0
17.8,0,0
17.5,139,33
18.3,382,112
20,1,260
21.7,45,357
22.8,109,427
23.2,694,242
23.6,768,214
23.5,895,134
23,872,129
22.5,827,118
21.4,755,99
19.8,601,75
18.3,224,36
16.9,0,0
15.8,0,0
14.7,0,0
13.9,0,0
13.6,0,0
13.3,0,0
13,0,0
12.9,0,0
12.8,0,0
12.8,0,0
13,0,0
13.2,238,26
14.7,629,65
17.4,793,85
20.2,880,97
22.3,933,101
24,952,107
25.7,953,111
26.9,944,110
27.6,918,108
28.3,869,101
28.1,785,89
27,630,69
25.9,246,33
24.4,0,0
22.7,0,0
21,0,0
20,0,0
19.5,0,0
19.1,0,0
18.8,0,0
18.5,0,0
18.3,0,0
18.6,0,0
19.5,0,0
20.3,202,26
22.1,603,66
25,764,89
27.8,848,104
29.6,890,116
30.5,914,122
31.3,922,124
31.8,913,123
32.1,888,119
32.4,838,111
31.8,601,144
30.5,420,97
29.2,41,34
28,0,0
27,0,0
26,0,0
25.5,0,0
25.5,0,0
25.5,0,0
25.4,0,0
25.1,0,0
24.9,0,0
24.7,0,0
24.4,0,0
24.2,11,33
25.3,314,104
27.8,621,128
30.2,783,130
31.4,464,316
31.3,813,173
31.3,886,143
31.5,866,150
31.8,816,157
32.1,719,164
31.7,459,180
30.4,89,109
29.1,20,35
27.8,0,0
26.5,0,0
25.2,0,0
24.1,0,0
23.1,0,0
22.2,0,0
21.8,0,0
21.9,0,0
22,0,0
22.2,0,0
22.3,0,0
22.4,22,33
23.7,310,106
26.1,521,161
28.4,678,181
29.8,812,161
30.2,816,187
30.6,788,215
31,775,213
31.3,716,217
31.6,650,196
31.3,562,155
30.2,402,101
29.2,117,33
28.1,0,0
26.9,0,0
25.8,0,0
25.2,0,0
25.1,0,0
25,0,0
24.8,0,0
24.5,0,0
24.2,0,0
24.1,0,0
24,0,0
23.9,124,27
25,477,82
27.2,658,120
29.4,753,145
30.7,777,177
31.1,799,190
31.5,112,459
31.9,147,487
32.3,2,191
32.6,74,185
31.8,0,136
30,4,100
28.1,0,25
26.1,0,0
24,0,0
21.8,0,0
20.4,0,0
19.5,0,0
18.7,0,0
18.1,0,0
17.6,0,0
17.1,0,0
16.8,0,0
16.7,0,0
16.7,13,31
17.7,40,142
19.9,354,197
22,739,143
23.7,755,178
25,786,187
26.2,835,167
27,857,146
27.3,829,139
27.6,729,147
27,573,142
25.7,58,136
24.4,24,35
22.8,0,0
21,0,0
19.3,0,0
18.4,0,0
18.2,0,0
18.1,0,0
18.1,0,0
18,0,0
17.9,0,0
17.8,0,0
17.7,0,0
17.7,0,17
18.4,2,125
19.9,71,228
21.4,98,305
22.7,100,420
23.8,318,351
24.9,475,331
25.8,22,386
26.6,173,328
27.4,537,221
27.1,636,124
25.8,591,64
24.5,192,24
22.8,0,0
20.7,0,0
18.6,0,0
17.3,0,0
16.6,0,0
15.9,0,0
15.3,0,0
