Ambient temp,Direct normal solar,Diffuse horizontal solar
-0.9,0,0
-0.8,0,0.8
-0.8,209.6,25.2
0.2,552.6,29.4
1.9,521.6,43.2
3.7,527.8,44.8
4.6,536.9,42.7
4.7,548,56.7
4.8,184.8,51
4.7,0,27
4.4,0,0.8
4.1,0,0
4.2,0,0
4.6,0,0
4.9,0,0
5.1,0,0
5.2,0,0
5.2,0,0
5.1,0,0
4.8,0,0
4.5,0,0
4.3,0,0
4,0,0
3.7,0,0
3.5,0,0
3.4,4,1.8
3.3,10.5,31.2
3.6,0,72
4.3,50.4,126
5.1,289.1,63.6
5.1,154.7,91.2
4.5,14.4,94.4
3.9,0.7,50.4
3.1,69.6,34.4
2.2,0,1.4
1.3,0,0
0.5,0,0
-0.2,0,0
-0.9,0,0
-1.5,0,0
-1.9,0,0
-2.2,0,0
-2.5,0,0
-2.7,0,0
-2.9,0,0
-2.9,0,0
-2.8,0,0
-2.7,0,0
-2.5,0,0
-2.2,0,1.2
-1.9,114.3,37.8
-1,373.6,42
0.4,576.9,63.2
1.7,410.9,64.2
2.4,438.6,60.8
2.4,528.5,40.6
2.3,464.8,37.6
1.6,331.2,16.8
0.3,10.5,1.6
-1.1,0,0
-1.9,0,0
-2.3,0,0
-2.6,0,0
-2.8,0,0
-2.9,0,0
-2.9,0,0
-2.7,0,0
-2.2,0,0
-1.8,0,0
-1.5,0,0
-1.3,0,0
-1.2,0,0
-1,0,0
-0.7,0,0
-0.4,56,36
-0.2,284.9,43.2
-0.1,95.2,127.2
0.1,0,120.8
0.4,0,91.8
0.7,0,74.4
1,0,52.8
1,0,19.8
0.6,0,0
0.3,0,0
0,0,0
-0.1,0,0
-0.1,0,0
0,0,0
0.4,0,0
0.7,0,0
0.8,0,0
0.5,0,0
0.3,0,0
0.2,0,0
0.1,0,0
0,0,0
0,0,0
0.1,0,0
0.2,0,25.2
0.4,0,42.4
0.9,0,71.2
1.4,0,47.4
1.8,0,70.2
2.2,0,51.1
2.6,0,56.7
2.5,88.2,36
2,17.1,2.4
1.4,0,0
0.8,0,0
0.2,0,0
-0.4,0,0
-0.9,0,0
-1.4,0,0
-1.8,0,0
-2.3,0,0
-2.9,0,0
-3.5,0,0
-3.9,0,0
-4.3,0,0
-4.7,0,0
-4.7,0,0
-4.5,20,2.4
-4.3,280.2,21
-3.5,637.2,28.2
-2.2,562.1,44
-1,756,41.3
-0.2,503.4,41.3
0.1,562.1,33
0.4,641.7,28.2
-0.3,386.4,18
-1.9,21,2.4
-3.5,0,0
-4.5,0,0
-4.9,0,0
-5.3,0,0
-5.3,0,0
-5,0,0
-4.6,0,0
-4.2,0,0
-3.6,0,0
-3,0,0
-2.5,0,0
-2.1,0,0
-1.7,0,0
-1.3,0,0
-1,0,0
-0.7,0,14.4
-0.6,0,37.1
-0.5,0,52
-0.5,0,70.2
-0.3,0,57.4
0,0,60.2
0.3,0,56
0.1,0.8,52.2
-0.5,4.5,3.5
-1.1,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.1,0,0
-0.7,0,0
-0.2,0,0
-0.1,0,0
-0.2,0,0
-0.2,0,0
-0.3,0,0
-0.2,0,0
-0.2,0,0
-0.2,0,0
-0.3,0,1.8
-0.3,0,21.7
-0.2,0,29.7
0.1,0,51.8
0.4,0,70.4
0.5,0,58.5
0.5,0,49.5
0.4,0,19.6
0.2,0,36.9
-0.3,0,2.1
-0.8,0,0
-1.2,0,0
-1.6,0,0
-1.9,0,0
-2.1,0,0
-2,0,0
-2,0,0
-2.3,0,0
-3,0,0
-3.7,0,0
-4.1,0,0
-4.2,0,0
-4.3,0,0
-4.1,0,0
-3.4,10.5,3.6
-2.8,74.7,28.7
-2,0,66.4
-1.1,0,80.5
-0.2,0,78.6
0.4,0,72.6
0.9,0,70
1.3,0,39.6
1.1,0,23.8
0.1,0,1.6
-0.8,0,0
-1.1,0,0
-0.9,0,0
-0.7,0,0
-0.4,0,0
-0.2,0,0
0.1,0,0
0.2,0,0
0,0,0
-0.1,0,0
-0.2,0,0
-0.3,0,0
-0.4,0,0
-0.3,0,0
0,0,4
0.3,37.8,16.2
0.7,0,46.2
1.3,0,91
1.8,238.7,111.2
2.4,0.8,78.4
3,0,63.2
3.6,0,67.9
4,0,36
4.1,0,3
4.3,0,0
4.6,0,0
5.1,0,0
5.6,0,0
5.8,0,0
5.6,0,0
